Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,0,0,1,0,5849,0,128,8,1,Urban,1
1,1,1,1,0,4583,1508,128,8,1,Rural,0
1,1,0,1,1,3000,0,66,8,1,Urban,1
1,1,0,0,0,2583,2358,120,8,1,Urban,1
1,0,0,1,0,6000,0,141,8,1,Urban,1
1,1,2,1,1,5417,4196,265,8,1,Urban,1
1,1,0,0,0,2333,1516,95,8,1,Urban,1
1,1,3,1,0,3036,2504,158,8,0,Semiurban,0
1,1,2,1,0,4006,1526,168,8,1,Urban,1
1,1,1,1,0,10235.5,5765,265,8,1,Semiurban,0
1,1,2,1,0,3200,700,70,8,1,Urban,1
1,1,2,1,0,2500,1840,109,8,1,Urban,1
1,1,2,1,0,3073,5765,200,8,1,Urban,1
1,0,0,1,0,1853,2840,114,8,1,Rural,0
1,1,2,1,0,1299,1086,17,4,1,Urban,1
1,0,0,1,0,4950,0,125,8,1,Urban,1
1,0,1,0,0,3596,0,100,6,1,Urban,1
0,0,0,1,0,3510,0,76,8,0,Urban,0
1,1,0,0,0,4887,0,133,8,1,Rural,0
1,1,0,1,0,2600,3500,115,8,1,Urban,1
1,1,0,0,0,7660,0,104,8,0,Urban,0
1,1,1,1,0,5955,5625,265,8,1,Urban,1
1,1,0,0,0,2600,1911,116,8,0,Semiurban,0
1,1,2,0,0,3365,1917,112,8,0,Rural,0
1,1,1,1,0,3717,2925,151,8,1,Semiurban,0
1,1,0,1,1,9560,0,191,8,1,Semiurban,1
1,1,0,1,0,2799,2253,122,8,1,Semiurban,1
1,1,2,0,0,4226,1040,110,8,1,Urban,1
1,0,0,0,0,1442,0,35,8,1,Urban,0
0,0,2,1,0,3750,2083,120,8,1,Semiurban,1
1,1,1,1,0,4166,3369,201,8,1,Urban,0
1,0,0,1,0,3167,0,74,8,1,Urban,0
1,0,1,1,1,4692,0,106,8,1,Rural,0
1,1,0,1,0,3500,1667,114,8,1,Semiurban,1
1,0,3,1,0,10235.5,3000,265,8,1,Rural,0
1,1,0,1,0,2275,2067,128,8,1,Urban,1
1,1,0,1,0,1828,1330,100,8,0,Urban,0
0,1,0,1,0,3667,1459,144,8,1,Semiurban,1
1,0,0,1,0,4166,5765,184,8,1,Urban,1
1,0,0,0,0,3748,1668,110,8,1,Semiurban,1
